Serial,Predicted_Rating
80000,6.4745809441239155
80001,6.339380567647048
80002,6.661517706619828
80003,6.602733940071466
80004,6.662945635078768
80005,6.406798733906651
80006,6.753140980434441
80007,6.522754277445815
80008,6.662652630483
80009,6.566533568955911
80010,6.50689334400231
80011,6.101145229910812
80012,6.379968990383678
80013,6.530150707730742
80014,6.139079865245001
80015,6.4660291609523375
80016,6.408601666014573
80017,6.787942174234227
80018,6.325391280517447
80019,6.5712203412639285
80020,6.482105699572642
80021,6.170725184666965
80022,6.811259097512201
80023,6.506967382120934
80024,6.499754417854162
80025,6.848966722924027
80026,6.303741988774807
80027,6.623890348763256
80028,6.3011294912760105
80029,6.587406086324389
80030,6.553462417286847
80031,6.389997917884749
80032,6.113254725197884
80033,6.510818815778041
80034,6.293106256570118
80035,6.326644069920837
80036,6.27953460496406
80037,6.1365810243429255
80038,6.629638689413684
80039,6.3195544782686435
80040,6.234512755233522
80041,6.433351985665156
80042,6.4884061549732985
80043,6.274935330831692
80044,6.341599836496034
80045,6.767013737066766
80046,6.814579466575882
80047,6.655451161054142
80048,6.548585657739177
80049,6.492373550499925
80050,6.881271532202566
80051,6.470123635681567
80052,6.3843419976659845
80053,6.6385066926833165
80054,6.610020631098718
80055,6.410695655399959
80056,6.330483111843358
80057,6.302255267686503
80058,6.405679416747439
80059,6.57297320930167
80060,6.48707117608538
80061,6.2559144454502995
80062,6.590768109579319
80063,6.874456864329303
80064,6.418192477411559
80065,6.433595041457917
80066,6.314910742831988
80067,6.436701026683979
80068,6.441861866944487
80069,6.45127241539118
80070,6.838508633873847
80071,6.529380483332408
80072,6.5039931808040805
80073,6.447421476678883
80074,6.595716436446198
80075,6.7843946512233995
80076,6.396392918189042
80077,6.503135259353556
80078,6.5643144578957155
80079,6.075163741372024
80080,6.517172306098427
80081,6.843863570459988
80082,6.511819824444011
80083,6.3100571770860725
80084,6.540332905229123
80085,6.474715339692149
80086,6.389519494474201
80087,6.272101060576611
80088,6.222275064031587
80089,6.487660485189092
80090,6.289753149390614
80091,6.6395529498954335
80092,6.566002509754164
80093,6.455245240955776
80094,6.515542758886628
80095,6.401122124855646
80096,6.114359629932121
80097,6.552970624506744
80098,6.4889342481218275
80099,6.229884174445789
80100,6.236630529358566
80101,6.599820784090055
80102,6.470384367313297
80103,6.602028944003025
80104,6.434528499574962
80105,6.652999684649853
80106,6.473782683479997
80107,6.612155672010967
80108,6.3820855544825426
80109,6.754717058057258
80110,6.200586714117948
80111,6.626266731440747
80112,6.599880123142912
80113,6.04748561436858
80114,6.541556682351186
80115,6.454742045848844
80116,6.824003365594134
80117,6.300011492756653
80118,6.403819812825221
80119,6.320719751541777
80120,6.107349302022079
80121,6.690945785784487
80122,6.712757481177504
80123,6.199099964067399
80124,6.375039679856614
80125,6.749573145500243
80126,6.284064164525575
80127,6.671477684374374
80128,6.410192616016031
80129,6.770023422352006
80130,6.7201268211096306
80131,6.638015828393616
80132,6.689262305493643
80133,6.228635397969853
80134,6.527053747868383
80135,6.307149968059255
80136,6.5635946042459805
80137,6.148072022722028
80138,6.704938084314688
80139,6.361914411973993
80140,6.702709489173229
80141,6.349308414164358
80142,6.712432752453
80143,6.542408034884415
80144,6.644551762356672
80145,6.260415942702546
80146,6.6418205554647525
80147,6.755611915764794
80148,6.2862176629807145
80149,6.50143208753535
80150,6.177231394945485
80151,6.228187194178501
80152,6.523080154861194
80153,6.3975986839131025
80154,6.484710304267073
80155,6.505343861214214
80156,6.333802571477896
80157,6.440892012513465
80158,6.287323793272766
80159,6.675031731859031
80160,6.551324648583159
80161,6.664980727426071
80162,6.766680640157209
80163,6.434813463755045
80164,6.6806852719517735
80165,6.49949147522212
80166,6.743059376483311
80167,6.108118510208376
80168,6.696215596035651
80169,6.347441662963554
80170,6.186183368939585
80171,6.610024468971536
80172,6.495639933954888
80173,6.554726906238751
80174,6.787576825039542
80175,6.369193226995058
80176,6.299824251843068
80177,6.542104130604683
80178,6.70526527435846
80179,6.159806872184164
80180,6.457031707428139
80181,6.501039239201002
80182,6.7304712326827465
80183,6.3482683347816575
80184,6.62828444504111
80185,6.74105560803254
80186,6.6682850659501165
80187,6.505221423875885
80188,6.6584584045679716
80189,6.3706514034880355
80190,6.443614894541737
80191,6.372603594487066
80192,6.601156862761527
80193,6.76345048975093
80194,6.464399491678477
80195,6.70709227557208
80196,6.083347801451449
80197,6.469745832490999
80198,6.510964496390776
80199,6.235174889575766
80200,6.772807037447772
80201,6.472019125028091
80202,6.4666839613739615
80203,6.473235327563334
80204,6.4659281557256545
80205,6.354749625401317
80206,6.716471501597149
80207,6.190415154183926
80208,6.447262580632136
80209,6.377755678606563
80210,6.579266734830712
80211,6.584583544265993
80212,6.501199551156682
80213,6.600087402052986
80214,6.361036640403935
80215,6.48550937989347
80216,6.43525109123783
80217,6.211494080405312
80218,6.415445472869032
80219,6.6661106156974475
80220,6.594326535594324
80221,6.649142332984807
80222,6.272074508384346
80223,6.288871979876225
80224,6.43229409676723
80225,6.458498876316414
80226,6.310390273975547
80227,6.827903430742361
80228,6.612613192732542
80229,6.595079989204851
80230,6.648978589963377
80231,6.349937843446444
80232,6.414493352939845
80233,6.6886297964088826
80234,6.359452379891556
80235,6.323843898219596
80236,6.412459013097969
80237,6.673498853377632
80238,6.4472702625994875
80239,6.540303789815263
80240,6.359282626047693
80241,6.6434426008889655
80242,6.216046496379687
80243,6.456534670325006
80244,6.393790182051609
80245,6.824160907569349
80246,6.608330992051051
80247,6.227518722145246
80248,6.700541073099951
80249,6.721019335340262
80250,6.255595317913745
80251,6.116743629158714
80252,6.425474376947166
80253,6.329928225096933
80254,6.4314497652891855
80255,6.230065682965639
80256,6.163213588883759
80257,6.134406842677021
80258,6.5132771473734286
80259,6.6503127540845055
80260,6.414356521675048
80261,6.47197613903257
80262,6.147831070411296
80263,6.751933147719564
80264,6.48428823364936
80265,6.478556276336182
